id,token0_symbol,token0_id,token1_symbol,token1_id
0xdfc14d2af169b0d36c4eff567ada9b2e0cae044f,AAVE,0x7fc66500c84a76ad7e9c93437bfc5ac33e2ddae9,WETH,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
0x874376be8231dad99aabf9ef0767b3cc054c60ee,LEASH,0x27c70cd1946795b66be9d954418546998b546634,WETH,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
0xce84867c3c02b05dc570d0135103d3fb9cc19433,SUSHI,0x6b3595068778dd592e39a122f4f5a5cf09c90fe2,WETH,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
0x55d5c232d921b9eaa6b37b5845e439acd04b4dba,HEX,0x2b591e99afe9f32eaa6214f7b7629768c40eeb39,WETH,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
0x97e1fcb93ae7267dbafad23f7b9afaa08264cfd8,UFO,0x249e38ea4102d0cf8264d3701f1a0e39c4f2dc3b,WETH,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
0x79fd3e7fe3e832c66a0c005fbc99319b5e851f04,KOKO,0x7c3e3eae4d893d11c61e74d5187c962ba5744a3b,WETH,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
0x0379da7a5895d13037b6937b109fa8607a659adf,DAI,0x6b175474e89094c44da98b954eedeac495271d0f,BAS,0xa7ed29b253d8b4e3109ce07c80fc570f81b63696
0xd4405f0704621dbe9d4dea60e128e0c3b26bddbd,BAC,0x3449fc1cd036255ba1eb19d65ff4ba2b8903a69a,DAI,0x6b175474e89094c44da98b954eedeac495271d0f
0x452c60e1e3ae0965cd27db1c7b3a525d197ca0aa,VADER,0x2602278ee1882889b946eb11dc0e810075650983,WETH,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
0xc76225124f3caab07f609b1d147a31de43926cd6,SFI,0xb753428af26e81097e7fd17f40c88aaa3e04902c,WETH,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
0xc60c479f3cc66f1654a4113f4949c98ce77a9995,KYL,0x67b6d479c7bb412c54e03dca8e1bc6740ce6b99c,WETH,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
0x86fef14c27c78deaeb4349fd959caa11fc5b5d75,WETH,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,RARI,0xfca59cd816ab1ead66534d82bc21e7515ce441cf
0x0c2445bec45c443c58f44f8e0a5796960e052d63,WETH,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,VISR,0xf938424f7210f31df2aee3011291b658f872e91e
0x6c8b0dee9e90ea9f790da5daf6f5b20d23b39689,ORN,0x0258f474786ddfd37abce6df6bbb1dd5dfc4434a,WETH,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
0x797e1dc0738f2f047d7e0dd185e41a35f87c5618,WETH,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,ZCX,0xc52c326331e9ce41f04484d3b5e5648158028804
0xcaa004418eb42cdf00cb057b7c9e28f0ffd840a5,WILD,0x2a3bff78b79a009976eea096a51a948a3dc00e34,WETH,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
0x2d9fd51e896ff0352cb6d697d13d04c2cb85ca83,LABS,0x8b0e42f366ba502d787bb134478adfae966c8798,WETH,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
0x9acc449b3d582daa61df507b7da2ad051a9a8afa,PYR,0x9534ad65fb398e27ac8f4251dae1780b989d136e,WETH,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
0xf043c39a106db6b58c76995f30ba35fd211c3b76,APY,0x95a4492f028aa1fd432ea71146b433e7b4446611,WETH,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
0xab3f9bf1d81ddb224a2014e98b238638824bcf20,LEND,0x80fb784b7ed66730e8b1dbd9820afd29931aab03,WETH,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
0xd6f3768e62ef92a9798e5a8cedd2b78907cecef9,FLX,0x6243d8cea23066d098a15582d81a598b4e8391f4,WETH,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
0xce2cc0513634cef3a7c9c257e294ef5e3092f185,OGN,0x8207c1ffc5b6804f6024322ccf34f29c3541ae26,WETH,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
0x5dfbe95925ffeb68f7d17920be7b313289a1a583,WETH,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,MEME,0xd5525d397898e5502075ea5e830d8914f6f0affe
0xc0067d751fb1172dbab1fa003efe214ee8f419b6,DOGE,0x4206931337dc273a630d328da6441786bfad668f,WETH,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
0xf232d640a5700724748464ba8bd8bed21db609a6,SKL,0x00c83aecc790e8a4453e5dd3b0b4b3680501a7a7,WETH,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
0xef5a01f893a81506439572922cc7cb779e7cc91c,MILF,0x0dd1989e4b0e82f154b729ff47f8c9a4f4b2cc1c,WETH,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
0x05be6820730b30086d6355c44c424230aaff41fb,WETH,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,VEMP,0xcfeb09c3c5f0f78ad72166d55f9e6e9a60e96eec
0x05f04f112a286c4c551897fb19ed2300272656c8,WETH,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,POLK,0xd478161c952357f05f0292b56012cd8457f1cfbf
0x23f7d99c169dee26b215edf806da8fa0706c4ecc,DEGO,0x88ef27e69108b2633f8e1c184cc37940a075cc02,WETH,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
0x40449d1f4c2d4f88dfd5b18868c76738a4e52fd4,CWS,0xac0104cca91d167873b8601d2e71eb3d4d8c33e0,WETH,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
0x3aeee5ba053ef8406420dbc5801fc95ec57b0e0a,DEC,0x30f271c9e86d2b7d00a6376cd96a1cfbd5f0b9b3,WETH,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
0x1812ef69e1753f908229df40d304a5fbdcd52dd3,FORTH,0x77fba179c79de5b7653f68b5039af940ada60ce0,USDT,0xdac17f958d2ee523a2206206994597c13d831ec7
0x7d9c8d888d03df89461c645bd1108ae138b63a2a,GLQ,0x9f9c8ec3534c3ce16f928381372bfbfbfb9f4d24,WETH,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
0xe46935ae80e05cdebd4a4008b6ccaa36d2845370,OM,0x3593d125a4f7849a1b059e64f4517a86dd60c95d,WETH,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
0xdc3e94ddf605864b79fce18c7cf974e579001e7b,QUICK,0x6c28aef8977c9b773996d0e8376d2ee379446f2f,WETH,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
0x6c8a55f67a7a6274d11e20bde30ee45049bdb570,MATTER,0x1c9491865a1de77c5b6e19d2e6a5f1d7a6f2b25f,WETH,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
0xd2e0c4928789e5db620e53af29f5fc7bca262635,TRADE,0x6f87d756daf0503d08eb8993686c7fc01dc44fb1,WETH,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
